variable,count,mean,std_dev,variance,median,iqr,min,p25,p75,max,skewness
gross_revenue,15989,353.85,375.62,141093.57,230.67,310.97,17.61,113.53,424.5,4437.55,3.04
net_revenue,15989,338.56,360.35,129853.43,224.37,305.93,13.21,110.68,416.61,4437.55,3.06
discount_amount,15989,15.29,39.05,1524.6,0.0,13.8,0.0,0.0,13.8,887.51,5.93
margin,15989,123.59,127.33,16212.57,88.29,112.1,-127.96,44.23,156.33,1807.65,3.04
unit_price,15989,247.93,193.84,37573.11,201.11,255.42,17.61,101.53,356.95,887.51,1.29
quantity,15989,1.43,0.81,0.66,1.0,1.0,1.0,1.0,2.0,5.0,2.17
transit_days,15681,3.46,1.41,2.0,3.0,2.0,1.0,2.0,4.0,13.0,0.74
